@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
82,'2018/02/09 21:48:41:149',2,280.57666,406.914764,35.056786,268.852234,398.499573,42.161671,230.434479,398.479736,43.354656,186.5439,404.951477,38.665432,152.609253,399.783844,35.336662,1
83,'2018/02/09 21:48:41:198',2,281.60553,406.418121,35.154251,270.521942,398.09906,42.308979,232.096466,398.326599,43.54324,188.612015,405.020325,38.778931,154.685684,399.463379,35.575668,1
84,'2018/02/09 21:48:41:249',2,282.869446,406.325104,35.251789,271.292786,397.978729,42.373138,232.901123,398.504028,43.61359,190.648407,405.92746,38.701344,156.639069,400.16156,35.618412,1
85,'2018/02/09 21:48:41:298',2,283.453217,406.247925,35.237312,271.074585,397.766205,42.405899,232.721344,397.957611,43.6362,190.853287,405.702057,38.673595,157.078201,399.536194,35.689083,1
86,'2018/02/09 21:48:41:349',2,282.67334,406.237,35.140121,270.791382,397.442719,42.377312,232.844193,397.053802,43.604351,190.573502,404.933136,38.811501,156.933044,398.511414,35.85841,1
87,'2018/02/09 21:48:41:399',2,282.949738,405.305878,35.316689,268.630676,399.432617,42.058319,231.314026,404.510559,41.919746,192.096741,404.841187,39.043518,158.201248,398.532104,36.009274,1
88,'2018/02/09 21:48:41:449',2,283.398895,403.863617,35.952366,265.970154,400.055756,41.795055,231.598648,403.348053,42.106041,193.289139,404.140778,39.207363,159.335449,398.788239,35.943398,1
89,'2018/02/09 21:48:41:498',2,282.891693,402.893524,36.138165,264.478577,399.125916,41.842915,231.211197,401.286591,42.373974,191.351227,400.869659,39.912624,157.571701,398.046936,35.820396,1
90,'2018/02/09 21:48:41:554',2,286.535889,404.214355,36.341599,270.335327,400.040466,42.027733,237.123764,400.910309,42.76548,195.682434,399.748505,40.44989,159.480209,397.355957,36.183792,1
91,'2018/02/09 21:48:41:602',2,290.612305,404.60553,36.258797,275.732208,400.032684,41.966732,242.328217,400.936584,42.763676,200.319077,399.650177,40.577408,163.30455,397.753265,36.210411,1
92,'2018/02/09 21:48:41:651',2,294.430359,405.07843,36.107758,280.853241,400.85379,41.922798,246.999908,401.480591,42.823074,205.633286,399.791016,40.852562,165.700485,397.947968,36.518204,1
93,'2018/02/09 21:48:41:701',2,304.530273,402.262817,36.578129,287.083832,398.854004,42.367184,253.137848,400.341553,43.081108,213.086441,399.082916,41.117741,172.12233,397.13385,37.019531,1
